Tue. Feb.  9, 2016             LANDSAT 5                 Time: 22:35
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17887241            Path/Row: 034 / 032

L0R Reference Image: L51AAA1186203060500_HDF.160410409
Acquisition Date: Jul 21, 1986

Band Number:  4

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001
035   031   09-12-2000
035   032   09-12-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320399_02   40.720258 -106.460853  2478.910       0.000     0.000    14.273     9.743
0340320403_02   40.777674 -106.796635  2706.846       0.000     0.000   -25.888   -57.571
0340320404_02   41.112398 -106.003941  2523.264       0.000     0.000   -34.585   -33.626
0340320407_02   40.168541 -106.742772  2473.329       0.000     0.000    -2.419    44.255
0340320408_02   40.997084 -105.343022  2210.808       0.000     0.000    12.981    20.591
0340320410_02   41.010519 -106.750149  2730.894       0.000     0.000   -37.443   -57.381
0340320412_02   40.834659 -106.798884  2785.227       0.000     0.000   -35.522   -67.435
0340320413_02   41.050027 -105.247269  2268.480       0.000     0.000    20.159    13.257
0340320419_02   40.617008 -106.856866  2564.004       0.000     0.000   -24.377   -44.486
0340320420_02   40.975601 -105.154280  2066.999       0.000     0.000   -16.294     7.797
0340320421_02   41.047239 -105.284383  2352.000       0.000     0.000     7.008    25.648
0340320424_02   40.649983 -106.822654  2778.263       0.000     0.000    -0.609   -49.341
0340320427_02   40.746725 -106.788339  2711.602       0.000     0.000   -13.413   -57.865
0340320428_02   40.980887 -106.744016  2896.531       0.000     0.000   -20.832   -57.406
0340320430_02   40.975253 -104.795562  1820.009       0.000     0.000     2.001    -7.101
0340320435_02   40.997709 -104.810830  1906.751       0.000     0.000   -25.776   -12.246
0340330001_02   39.506654 -105.278350  2526.448       0.000     0.000   -10.280     8.520
0340330016_02   39.807544 -107.020628  2204.209       0.000     0.000     0.805     4.564
0340330020_02   39.803920 -107.057666  2483.861       0.000     0.000   -11.806   -37.092
0340330031_02   39.627106 -106.052397  2745.662       0.000     0.000    33.268    -8.942
0340330069_02   39.787174 -107.026338  2190.242       0.000     0.000     6.081    -4.916
0340330102_02   39.496979 -105.253888  2574.454       0.000     0.000    -7.284    15.627
0340330121_02   39.538832 -105.371343  2784.627       0.000     0.000    -8.867    -4.317
0340330124_02   39.546437 -105.062382  1644.000       0.000     0.000    44.317    34.545
0340330137_02   39.605473 -106.023066  2760.767       0.000     0.000    26.445   -20.544
0340330158_02   39.796262 -106.969493  2021.888       0.000     0.000    10.984    19.375
0340330170_02   39.716121 -106.993459  2121.301       0.000     0.000    17.980    17.421
0340330172_02   39.617022 -106.173869  3481.465       0.000     0.000     4.126    -8.518
0340330173_02   39.747746 -106.993320  2047.819       0.000     0.000     4.607    21.288
0340330175_02   39.786867 -107.089387  2393.589       0.000     0.000     4.513   -65.146
0340330198_02   39.523611 -105.396742  3027.477       0.000     0.000    -4.954     6.108
0340330241_02   39.768523 -107.041901  2103.141       0.000     0.000     2.973     5.621
0340330289_02   39.747686 -107.027981  1918.497       0.000     0.000     7.063    19.462
0340330314_02   39.692756 -106.195444  3063.152       0.000     0.000     5.054   -54.809
0340330325_02   39.734913 -107.062613  2028.617       0.000     0.000    -9.425    21.602
0340330383_02   39.825683 -107.003283  2274.851       0.000     0.000    -3.237     8.292
0340330406_02   39.534258 -105.085063  1644.000       0.000     0.000    46.189   -13.072
