Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320401_02   39.566156 -105.619807  3944.632       0.000     0.000    46.458   -20.185
0340320408_02   40.997084 -105.343022  2210.808       0.000     0.000    29.513     6.068
0340320420_02   40.975601 -105.154280  2066.999       0.000     0.000    -1.864    -6.875
0340330001_02   39.506654 -105.278350  2526.448       0.000     0.000   -17.695     9.408
0340330008_02   39.465267 -105.383507  2540.090       0.000     0.000   -11.629    14.373
0340330018_02   39.461548 -105.078697  1814.942       0.000     0.000    -2.646    -1.093
0340330031_02   39.627106 -106.052397  2745.662       0.000     0.000    17.926    13.624
0340330098_02   39.495429 -105.698377  2759.763       0.000     0.000   -30.700   -21.513
0340330102_02   39.496979 -105.253888  2574.454       0.000     0.000   -15.588    10.115
0340330121_02   39.538832 -105.371343  2784.627       0.000     0.000     7.318     8.599
0340330124_02   39.546437 -105.062382  1644.000       0.000     0.000    87.533   -50.566
0340330136_02   39.655575 -105.879381  3597.850       0.000     0.000    -8.902     8.707
0340330137_02   39.605473 -106.023066  2760.767       0.000     0.000    28.832     0.711
0340330147_02   39.704316 -106.252683  3618.345       0.000     0.000   -70.691    21.115
0340330155_02   39.567103 -106.051839  2747.305       0.000     0.000    -5.034    -0.023
0340330172_02   39.617022 -106.173869  3481.465       0.000     0.000     6.446   -12.894
0340330181_02   39.543582 -105.477158  3080.072       0.000     0.000    -0.781    -6.313
0340330198_02   39.523611 -105.396742  3027.477       0.000     0.000     1.649    11.225
0340330205_02   39.622541 -105.850651  3607.722       0.000     0.000    -4.817     0.069
0340330207_02   39.616186 -105.562235  3031.059       0.000     0.000     7.721    28.031
0340330236_02   39.638253 -105.983344  3327.002       0.000     0.000    13.760   -41.425
0340330244_02   39.605893 -105.713813  3391.013       0.000     0.000    12.191   -15.575
0340330285_02   39.543904 -105.847595  3602.825       0.000     0.000    45.079    -5.475
0340330298_02   39.585664 -106.090896  2747.263       0.000     0.000    15.474    -5.866
0340330314_02   39.692756 -106.195444  3063.152       0.000     0.000    56.772    37.080
0340330334_02   39.419095 -105.268243  2376.625       0.000     0.000    26.055   -32.273
0340330352_02   39.646465 -105.904090  3487.215       0.000     0.000   -18.943    -3.317
0340330369_02   39.597720 -105.949228  3032.566       0.000     0.000   -22.949   -24.058
0340330372_02   39.566156 -105.619807  3944.632       0.000     0.000    49.579   -26.291
0340330416_02   39.541757 -105.293852  2441.789       0.000     0.000   -15.806    23.013
0340330433_02   39.553798 -105.339298  2530.105       0.000     0.000    -7.721    11.085
