==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321304   40.66408   -105.25862     0.32      0.01     0.32     1 
0360321305   40.66416   -105.21886     0.24     -0.16     0.29     1 
0360321307   40.66429   -105.13936     0.32      0.33     0.46     1 
0360321308   40.66433   -105.09961     0.43      0.25     0.50     2 
0360321309   40.66435   -105.05986     0.07     -0.08     0.11     1 
0360321310   40.66437   -105.02011    -0.27     -0.14     0.31     1 
0360321321   40.66362   -104.58286     0.07     -0.01     0.07     1 
0360321338   40.65920   -103.90718    -0.05      0.09     0.11     1 
0360321364   40.63472   -105.85450     0.20      0.08     0.21     1 
0360321365   40.63501   -105.81477     0.73      0.20     0.75     2 
0360321368   40.63579   -105.69558    -0.27      0.21     0.34     1 
0360321373   40.63681   -105.49692     0.18      0.33     0.38     1 
0360321374   40.63698   -105.45718    -0.25      0.29     0.38     1 
0360321375   40.63713   -105.41745     0.71     -0.07     0.71     2 
0360321376   40.63727   -105.37771     0.76      0.18     0.78     2 
0360321377   40.63739   -105.33798     0.37      0.31     0.48     1 
0360321378   40.63750   -105.29825     0.49      0.20     0.53     2 
0360321379   40.63759   -105.25851     0.32      0.03     0.32     1 
0360321380   40.63768   -105.21878     0.29      0.03     0.29     1 
0360321386   40.63788   -104.98037     0.30      0.02     0.30     1 
0360321387   40.63787   -104.94063     0.30      0.24     0.38     1 
0360321412   40.63309   -103.94734    -0.37     -0.64     0.73     2 
0360321438   40.60794   -105.89387    -0.11      0.54     0.55     2 
0360321440   40.60853   -105.81444     0.40      0.41     0.57     2 
0360321442   40.60906   -105.73502     0.01      0.28     0.28     1 
0360321443   40.60930   -105.69530    -0.28      0.33     0.43     1 
0360321448   40.61033   -105.49672     0.27      0.42     0.50     1 
0360321449   40.61049   -105.45700     0.11      0.28     0.30     1 
0360321452   40.61090   -105.33785     0.64      0.21     0.67     2 
0360321453   40.61101   -105.29813     0.48      0.16     0.51     2 
0360321454   40.61111   -105.25841     0.35      0.15     0.38     1 
0360321455   40.61119   -105.21869     0.41     -0.02     0.41     1 
0360321463   40.61136   -104.90094    -0.12      0.03     0.12     1 
0360321464   40.61131   -104.86122     0.25      0.06     0.26     1 
0360321511   40.58082   -105.97291     0.46      0.14     0.48     1 
0360321516   40.58232   -105.77442    -0.02      0.19     0.19     1 
0360321518   40.58282   -105.69503    -0.23      0.59     0.64     2 
0360321523   40.58384   -105.49652     0.17      0.30     0.34     1 
0360321524   40.58401   -105.45682     0.27      0.20     0.33     1 
0360321525   40.58416   -105.41712     0.81      0.11     0.81     2 
0360321528   40.58453   -105.29801     0.51      0.44     0.68     2 
0360321529   40.58462   -105.25831     0.60      0.06     0.61     2 
0360321530   40.58470   -105.21861     0.48      0.04     0.48     1 
0360321586   40.55433   -105.97253     0.51      0.06     0.52     2 
0360321587   40.55466   -105.93285    -0.31      0.49     0.58     2 
0360321589   40.55527   -105.85348     0.02      0.22     0.22     1 
0360321590   40.55556   -105.81380     0.34     -0.10     0.35     1 
0360321592   40.55609   -105.73444    -0.41     -0.01     0.41     1 
0360321597   40.55718   -105.53601     0.60      0.52     0.79     2 
0360321598   40.55736   -105.49633     0.24      0.35     0.43     1 
0360321599   40.55752   -105.45664     0.42      0.04     0.43     1 
0360321602   40.55793   -105.33758     0.60      0.42     0.73     2 
0360321603   40.55804   -105.29789     0.48      0.60     0.77     2 
0360321604   40.55814   -105.25821     0.77      0.03     0.77     2 
0360321662   40.52818   -105.93248    -0.08      0.21     0.23     1 
0360321664   40.52879   -105.85315     0.14      0.13     0.19     1 
0360321665   40.52908   -105.81348     0.30      0.03     0.30     1 
0360321666   40.52935   -105.77381     0.13     -0.12     0.18     1 
0360321667   40.52961   -105.73415     0.47     -0.39     0.61     2 
0360321671   40.53051   -105.57547     0.53      0.54     0.75     2 
0360321672   40.53070   -105.53580    -0.21      0.57     0.60     2 
0360321673   40.53087   -105.49613    -0.11      0.25     0.28     1 
0360321678   40.53156   -105.29778     0.43      0.31     0.53     2 
0360321679   40.53165   -105.25811     0.55      0.10     0.56     2 
0360321690   40.53180   -104.82171     0.21      0.30     0.37     1 
0360321737   40.50169   -105.93211    -0.44     -0.07     0.45     1 
0360321738   40.50201   -105.89246    -0.14      0.00     0.14     1 
0360321739   40.50231   -105.85281     0.48     -0.04     0.48     1 
0360321740   40.50259   -105.81316     0.25     -0.11     0.27     1 
0360321742   40.50312   -105.73386    -0.48     -0.06     0.49     1 
0360321743   40.50337   -105.69421    -0.00      0.46     0.46     1 
0360321747   40.50421   -105.53559    -0.09      0.47     0.48     1 
0360321748   40.50439   -105.49594    -0.16      0.30     0.34     1 
0360321751   40.50484   -105.37697     0.70      0.16     0.71     2 
0360321752   40.50496   -105.33732     0.63      0.52     0.81     2 
0360321765   40.50532   -104.82178     0.17      0.11     0.20     1 
0360321777   40.50360   -104.34592     0.10      0.13     0.16     1 
0360321812   40.47521   -105.93175    -0.65      0.17     0.67     2 
0360321814   40.47582   -105.85248     0.14      0.07     0.16     1 
0360321816   40.47638   -105.77321    -0.16     -0.07     0.18     1 
0360321817   40.47664   -105.73357     0.01     -0.51     0.52     2 
0360321824   40.47807   -105.45610     0.59     -0.30     0.66     2 
0360321825   40.47822   -105.41646     0.51     -0.08     0.51     2 
0360321826   40.47835   -105.37682     0.49      0.09     0.50     1 
0360321827   40.47847   -105.33718     0.47      0.50     0.69     2 
0360321829   40.47868   -105.25790     0.57      0.20     0.60     2 
0360321842   40.47868   -104.74257     0.31      0.51     0.60     2 
0360321861   40.47455   -103.98946     0.07      0.04     0.08     1 
